item_id,item_name,store_id,store_name,original_price,price,category,stock_0930,stock_1630,stock_2030,change_2_1,change_3_2,change_3_1
69790da29bde53f546aee78a,Vetdiet Feline Adult - Indoor - Chicken & Rice | Cat Food | Size: 1.59,63cef866290ecaebc6d392ff,Unknown,29.99,14.99, Cat Supplies ,,4,,,,
69790dd99bde53f546aefbf5,Vetdiet Feline Adult - Indoor - Chicken & Rice | Cat Food | Size: 3.18,63cef866290ecaebc6d392ff,Unknown,46.99,23.5, Cat Supplies ,,1,,,,
69790deac889febbe732f2d8,Vetdiet Feline Adult - Chicken & Rice | Cat Food | Size: 1.59,63cef866290ecaebc6d392ff,Unknown,26.99,13.49, Cat Supplies ,,1,,,,
69790e2fe4fe434135030c9f,Vetdiet Feline Adult - Dental Care - Chicken & Rice | Cat Food | Size: 1.59,63cef866290ecaebc6d392ff,Unknown,32.99,16.5,Cat Supplies,,3,,,,
69792a7d5e28e9c60cc1c722,swift smoked bacon,5fac3e09d7528a3c966b13cd,Unknown,4.29,4.0,Deli,,7,,,,
697a25349bde53f546db8d4e,birthday helium hounds cookie,63cef866290ecaebc6d392ff,Unknown,3.99,2.0, Dog Supplies,,2,,,,
697a2800897d696bef67516a,Allergy Relief Ex S 10Mg 30,629cec56061cc26b59532732,Unknown,16.99,8.49,Centre of Store,,3,,,,
697ceebdda0da97466cc0751,Fruit Box #108,5fac3e05d7528a3c966b13b2,Unknown,1.0,1.0,Produce,,1,,,,
697cef0cb1f2beb17089de1a,Fruit Box #103,5fac3e05d7528a3c966b13b2,Unknown,1.0,1.0,Produce,,1,,,,
697cef4bb1f2beb17089fc0e,Fruit Box #110,5fac3e05d7528a3c966b13b2,Unknown,1.0,1.0,Produce,,1,,,,
6980ffaa08f58a8cb097144a,Chocolate Brownie,6410dc9ed904cd2328a73d59,Unknown,6.99,3.0,Frozen,,1,,,,
698398c308f58a8cb0188ff1,Hot Italian Ground Pork Sausage Meat,5ccc4fa913ed23170c14db03,Unknown,8.0,4.0,Meat,,1,,,,
69839c2e2e4c73b147ad4e3d,Fresh Beef Heart,5ccc4fa913ed23170c14db03,Unknown,16.55,8.27,Meat,,1,,,,
6983afc71886d692c32f8232,Apple Juice,620d1d6410da110df3ef147b,Unknown,3.79,1.49,Centre of Store,,6,,,,
6983b1202e4c73b147b3fdf2,Lemonade,620d1d6410da110df3ef147b,Unknown,3.0,1.5,Centre of Store,,2,,,,
698417231886d692c347ec40,lollipops,5f2cdb2b9108010bf40533ee,Unknown,2.49,1.25,Grocery,,10,,,,
6984180c2e4c73b147ca6c25,gummy rush,5f2cdb2b9108010bf40533ee,Unknown,2.0,1.0,Grocery,,30,,,,
6984188d1886d692c3481750,gummy rush tangerine,5f2cdb2b9108010bf40533ee,Unknown,2.0,1.0,Grocery,,28,,,,
6984c34b08f58a8cb04eb430,Peanut Butter Choco Crunch Ice Cream and Dessert Topping,5fa2e792eb077d102ffcccce,Unknown,3.5,1.75,Candy & Chocolate,,3,,,,
6984c9f17cb9dc7d14512e02,Secret Instant Noodles Manchurian,5fa2e792eb077d102ffcccce,Unknown,2.49,0.5,Centre of Store,,19,,,,
6984ca1e7cb9dc7d14514220,Old Fashioned Butterscotch Ice Cream & Dessert Topping,5fa2e792eb077d102ffcccce,Unknown,6.29,3.14,Centre of Store,,2,,,,
6984e44e3e10d30e05b66c0d,"Lassi Yogurt Smoothie, Sweet",5f2cdb2b9108010bf40533ee,Unknown,3.0,2.0,Dairy,,9,,,,
6985f60d08f58a8cb086189f,Old-Fashioned Style Peppercorn Bacon,5ccc4fa913ed23170c14db03,Unknown,20.0,10.0,Meat,,1,,,,
6985f65308f58a8cb086314f,Peameal-Style Sliced Cured Pork Loin,5ccc4fa913ed23170c14db03,Unknown,10.0,5.0,Other,,3,,,,
6985f68a266c937661a9e873,Fruit Box #111,5fac3e05d7528a3c966b13b2,Unknown,1.0,1.0,Produce,,1,,,,
6985f6df08f58a8cb086684b,Ham,5ccc4fa913ed23170c14db03,Unknown,4.5,2.25,Meat,,20,,,,
6985f87508f58a8cb086e307,Fruit Box #303,5fac3e05d7528a3c966b13b2,Unknown,1.5,1.5,Produce,,1,,,,
6985f88d2e4c73b14720e30f,Fruit Box #305,5fac3e05d7528a3c966b13b2,Unknown,1.5,1.5,Produce,,1,,,,
